"日足・最新の選択","当日"," 8月26日","日足"
"市場","銘柄コード","銘柄名","始値","高値","安値","終値","出来高","","","","","","","","","","","","","","",""
"","","","実","実","実","実","        実","","","","","","","","","","","","","","",""
東１,2109,三井糖,486.0,517.0,485.0,508.0,542000,,,,,,,,,,,,,,,
東１,2112,塩水糖,227.0,235.0,227.0,232.0,101900,,,,,,,,,,,,,,,
東２,2114,フジ日糖,387.0,399.0,387.0,399.0,2300,,,,,,,,,,,,,,,
東２,2117,日新製糖,2703.0,2879.0,2703.0,2850.0,8700,,,,,,,,,,,,,,,
東１,2120,ネクスト,765.0,775.0,717.0,746.0,1149800,,,,,,,,,,,,,,,
東マ,2121,ミクシィ,4130.0,4390.0,4080.0,4380.0,4171000,,,,,,,,,,,,,,,
東マ,2122,インタスペース,770.0,770.0,615.0,738.0,259100,,,,,,,,,,,,,,,
ＪＱ,2124,ＪＡＣＲ,845.0,886.0,836.0,849.0,150300,,,,,,,,,,,,,,,
東１,2127,日本Ｍ＆Ａ,4610.0,4710.0,4560.0,4685.0,364500,,,,,,,,,,,,,,,
東１,2128,ノバレーゼ,851.0,888.0,846.0,888.0,17500,,,,,,,,,,,,,,,
名２,2130,メンバーズ,401.0,403.0,386.0,389.0,3000,,,,,,,,,,,,,,,
東１,2131,アコーディア,1169.0,1194.0,1163.0,1191.0,480200,,,,,,,,,,,,,,,
東２,2132,アイレップ,198.0,208.0,194.0,205.0,163500,,,,,,,,,,,,,,,
ＪＱ,2134,サンキャピタル,111.0,122.0,111.0,122.0,166900,,,,,,,,,,,,,,,
ＪＱ,2136,ヒップ,495.0,518.0,487.0,518.0,16000,,,,,,,,,,,,,,,
ＪＱ,2138,クルーズ,2925.0,3070.0,2814.0,3035.0,5261000,,,,,,,,,,,,,,,
東２,2139,中広,620.0,650.0,607.0,626.0,58200,,,,,,,,,,,,,,,
ＪＱ,2144,やまねメディ,340.0,344.0,331.0,334.0,48700,,,,,,,,,,,,,,,
ＪＱ,2145,データリンクス,1230.0,1291.0,1201.0,1250.0,1300,,,,,,,,,,,,,,,
ＪＱ,2146,ＵＴグループ,699.0,724.0,675.0,702.0,356100,,,,,,,,,,,,,,,
東マ,2148,ＩＴＭ,1878.0,1969.0,1877.0,1912.0,165100,,,,,,,,,,,,,,,
東マ,2150,ケアネット,808.0,840.0,808.0,826.0,18600,,,,,,,,,,,,,,,
東１,2151,タケエイ,1360.0,1440.0,1360.0,1425.0,265000,,,,,,,,,,,,,,,
ＪＱ,2152,幼児活動,640.0,655.0,636.0,652.0,4400,,,,,,,,,,,,,,,
東２,2153,イージェイＨＤ,941.0,971.0,941.0,971.0,3300,,,,,,,,,,,,,,,
東１,2154,トラストテック,2020.0,2189.0,2020.0,2166.0,27100,,,,,,,,,,,,,,,
ＪＱ,2156,セーラー広告,226.0,246.0,226.0,246.0,4000,,,,,,,,,,,,,,,
ＪＱ,2157,コシダカＨＤ,2400.0,2475.0,2351.0,2475.0,264600,,,,,,,,,,,,,,,
東マ,2158,ＵＢＩＣ,645.0,685.0,614.0,685.0,1304200,,,,,,,,,,,,,,,
東マ,2159,フルスピード,364.0,399.0,364.0,399.0,82800,,,,,,,,,,,,,,,
東マ,2160,ＧＮＩ,208.0,212.0,199.0,199.0,1760000,,,,,,,,,,,,,,,
ＪＱ,2162,ｎｍｓ,810.0,889.0,808.0,878.0,512200,,,,,,,,,,,,,,,
ＪＱ,2163,アルトナー,1141.0,1180.0,1124.0,1180.0,6100,,,,,,,,,,,,,,,
ＪＱ,2164,地域新聞社,536.0,549.0,532.0,549.0,6800,,,,,,,,,,,,,,,
ＪＱ,2165,メガロス,1809.0,1809.0,1678.0,1715.0,6200,,,,,,,,,,,,,,,
東１,2168,パソナＧ,1113.0,1162.0,1113.0,1153.0,219400,,,,,,,,,,,,,,,
東１,2169,ＣＤＳ,885.0,919.0,870.0,918.0,23100,,,,,,,,,,,,,,,
東１,2170,ＬＩＮＫ＆Ｍ,115.0,122.0,115.0,121.0,778200,,,,,,,,,,,,,,,
ＪＱ,2173,博展,446.0,464.0,434.0,458.0,7100,,,,,,,,,,,,,,,
東１,2174,ＧＣＡ,1522.0,1622.0,1520.0,1604.0,271200,,,,,,,,,,,,,,,
東１,2175,ＳＭＳ,1799.0,1820.0,1738.0,1814.0,173700,,,,,,,,,,,,,,,
ＪＱ,2176,イナリサーチ,895.0,968.0,881.0,894.0,311900,,,,,,,,,,,,,,,
東マ,2178,トライＳＴＧ,1748.0,1748.0,1664.0,1723.0,42900,,,,,,,,,,,,,,,
ＪＱ,2179,成学社,909.0,909.0,894.0,908.0,2700,,,,,,,,,,,,,,,
ＪＱ,2180,サニーサイド,860.0,900.0,860.0,880.0,2000,,,,,,,,,,,,,,,
東１,2181,テンプＨＤ,4790.0,4920.0,4730.0,4875.0,417800,,,,,,,,,,,,,,,
東１,2183,リニカル,1243.0,1348.0,1241.0,1343.0,50300,,,,,,,,,,,,,,,
ＪＱ,2185,シイエムシイ,3140.0,3270.0,3100.0,3150.0,22300,,,,,,,,,,,,,,,
ＪＱ,2186,ソーバル,1203.0,1251.0,1186.0,1233.0,16700,,,,,,,,,,,,,,,
ＪＱ,2191,テラ,787.0,855.0,786.0,851.0,132000,,,,,,,,,,,,,,,
東１,2193,ＣＯＯＫＰＡＤ,2418.0,2470.0,2350.0,2470.0,1368900,,,,,,,,,,,,,,,
ＪＱ,2195,アミタＨＤ,815.0,815.0,755.0,784.0,11800,,,,,,,,,,,,,,,
東１,2196,エスクリ,880.0,913.0,878.0,910.0,100900,,,,,,,,,,,,,,,
東１,2198,アイケイケイ,515.0,526.0,514.0,523.0,40300,,,,,,,,,,,,,,,
